Skole,Bydel
Holmen skole,Vestre Aker
Hovseter skole,Vestre Aker
Huseby skole,Vestre Aker
Markaskolen,Vestre Aker
Midtstuen skole,Vestre Aker
Persbråten videregående skole,Vestre Aker
Ris skole,Vestre Aker
Slemdal skole,Vestre Aker
Svendstuen skole,Vestre Aker
Sørkedalen skole,Vestre Aker
Vestre Aker skole,Vestre Aker
Vinderen skole,Vestre Aker
Voksen skole,Vestre Aker
Voksentoppen skole,Vestre Aker
Hans Nielsen Hauge grunnskole Oslo,Vestre Aker
Norlights International School Oslo AS,Vestre Aker
Oslo montessoriskole,Vestre Aker
Rudolf steinerskolen i Oslo,Vestre Aker
Abildsø skole,Østensjø
Bøler skole,Østensjø
Godlia skole,Østensjø
Høyenhall skole,Østensjø
Manglerud skole,Østensjø
Nøklevann skole,Østensjø
Oppsal skole,Østensjø
Rustad skole,Østensjø
Skullerud skole,Østensjø
Skøyenåsen skole,Østensjø
Trasop skole,Østensjø
Ulsrud videregående skole,Østensjø
Vetland skole og ressurssenter for hørselshemmede,Østensjø
Voksenopplæring Skullerud,Østensjø
Østensjø skole,Østensjø
Statped Oslo Diamanten skole,Østensjø
Østmarka skole,Østensjø
